country_id,Rank,start,end,current
7830,168,01.01.1900,31.12.9999,1
3497,50,01.01.1900,31.12.9999,1
3592,62,01.01.1900,31.12.9999,1
6262,45,01.01.1900,31.12.9999,1
2701,174,01.01.1900,31.12.9999,1
4228,59,01.01.1900,31.12.9999,1
3964,173,01.01.1900,31.12.9999,1
8099,215,01.01.1900,31.12.9999,1
6596,180,01.01.1900,31.12.9999,1
2777,126,01.01.1900,31.12.9999,1
2792,157,01.01.1900,31.12.9999,1
6400,182,01.01.1900,31.12.9999,1
9800,10,01.01.1900,31.12.9999,1
8489,194,01.01.1900,31.12.9999,1
1367,135,01.01.1900,31.12.9999,1
2641,217,01.01.1900,31.12.9999,1
9877,134,01.01.1900,31.12.9999,1
1357,169,01.01.1900,31.12.9999,1
6446,230,01.01.1900,31.12.9999,1
3324,40,01.01.1900,31.12.9999,1
9850,48,01.01.1900,31.12.9999,1
7797,26,01.01.1900,31.12.9999,1
2703,145,01.01.1900,31.12.9999,1
9288,225,01.01.1900,31.12.9999,1
3315,49,01.01.1900,31.12.9999,1
7531,71,01.01.1900,31.12.9999,1
5635,185,01.01.1900,31.12.9999,1
1811,123,01.01.1900,31.12.9999,1
6130,106,01.01.1900,31.12.9999,1
1507,54,01.01.1900,31.12.9999,1
4777,6,01.01.1900,31.12.9999,1
7875,232,01.01.1900,31.12.9999,1
4718,56,01.01.1900,31.12.9999,1
6127,150,01.01.1900,31.12.9999,1
1019,210,01.01.1900,31.12.9999,1
4283,120,01.01.1900,31.12.9999,1
2939,127,01.01.1900,31.12.9999,1
5946,5,01.01.1900,31.12.9999,1
7978,222,01.01.1900,31.12.9999,1
2232,128,01.01.1900,31.12.9999,1
6499,93,01.01.1900,31.12.9999,1
8530,109,01.01.1900,31.12.9999,1
2693,44,01.01.1900,31.12.9999,1
1477,13,01.01.1900,31.12.9999,1
7322,37,01.01.1900,31.12.9999,1
4885,92,01.01.1900,31.12.9999,1
7373,136,01.01.1900,31.12.9999,1
3352,143,01.01.1900,31.12.9999,1
6771,64,01.01.1900,31.12.9999,1
6070,9,01.01.1900,31.12.9999,1
7426,76,01.01.1900,31.12.9999,1
9065,228,01.01.1900,31.12.9999,1
9260,190,01.01.1900,31.12.9999,1
7092,220,01.01.1900,31.12.9999,1
3283,188,01.01.1900,31.12.9999,1
6251,218,01.01.1900,31.12.9999,1
7391,41,01.01.1900,31.12.9999,1
5951,72,01.01.1900,31.12.9999,1
1245,105,01.01.1900,31.12.9999,1
3813,196,01.01.1900,31.12.9999,1
2946,102,01.01.1900,31.12.9999,1
7069,113,01.01.1900,31.12.9999,1
9088,214,01.01.1900,31.12.9999,1
3625,116,01.01.1900,31.12.9999,1
5516,148,01.01.1900,31.12.9999,1
9888,166,01.01.1900,31.12.9999,1
6544,70,01.01.1900,31.12.9999,1
6951,24,01.01.1900,31.12.9999,1
7514,29,01.01.1900,31.12.9999,1
1955,86,01.01.1900,31.12.9999,1
7526,30,01.01.1900,31.12.9999,1
7632,61,01.01.1900,31.12.9999,1
4452,32,01.01.1900,31.12.9999,1
9954,170,01.01.1900,31.12.9999,1
9171,87,01.01.1900,31.12.9999,1
9995,101,01.01.1900,31.12.9999,1
9598,60,01.01.1900,31.12.9999,1
1623,57,01.01.1900,31.12.9999,1
8108,95,01.01.1900,31.12.9999,1
5605,22,01.01.1900,31.12.9999,1
3514,20,01.01.1900,31.12.9999,1
8258,155,01.01.1900,31.12.9999,1
3763,100,01.01.1900,31.12.9999,1
4810,233,01.01.1900,31.12.9999,1
7376,197,01.01.1900,31.12.9999,1
4402,153,01.01.1900,31.12.9999,1
2097,79,01.01.1900,31.12.9999,1
3095,18,01.01.1900,31.12.9999,1
6898,111,01.01.1900,31.12.9999,1
6928,227,01.01.1900,31.12.9999,1
3793,31,01.01.1900,31.12.9999,1
8670,38,01.01.1900,31.12.9999,1
3348,97,01.01.1900,31.12.9999,1
8898,21,01.01.1900,31.12.9999,1
8163,3,01.01.1900,31.12.9999,1
8338,133,01.01.1900,31.12.9999,1
7220,43,01.01.1900,31.12.9999,1
9145,181,01.01.1900,31.12.9999,1
4005,51,01.01.1900,31.12.9999,1
6369,16,01.01.1900,31.12.9999,1
7483,172,01.01.1900,31.12.9999,1
7872,46,01.01.1900,31.12.9999,1
9480,63,01.01.1900,31.12.9999,1
2658,74,01.01.1900,31.12.9999,1
