country_id,date,value
655,1981-01-01,4.4
372,1981-01-01,-1.3
39,1981-01-01,5.8
916,1981-01-01,
698,1981-01-01,
902,1981-01-01,6.6
515,1981-01-01,
507,1982-01-01,
101,1982-01-01,2.9
581,1982-01-01,6.4
283,1982-01-01,
383,1982-01-01,0.0
492,1982-01-01,-0.1
214,1982-01-01,-3.1
944,1982-01-01,
686,1982-01-01,
145,1982-01-01,0.1
907,1982-01-01,1.9
736,1982-01-01,
201,1982-01-01,6.3
768,1982-01-01,6.4
286,1982-01-01,2.4
377,1982-01-01,-4.9
4,1982-01-01,4.0
587,1982-01-01,0.6
360,1982-01-01,-7.6
473,1982-01-01,1.7
259,1982-01-01,8.2
694,1982-01-01,-3.9
263,1982-01-01,
713,1982-01-01,15.9
108,1982-01-01,0.6
5,1982-01-01,
574,1982-01-01,4.2
467,1982-01-01,1.4
312,1982-01-01,-1.1
549,1982-01-01,2.8
366,1982-01-01,
239,1982-01-01,7.6
443,1982-01-01,-3.2
560,1982-01-01,-3.6
689,1982-01-01,5.4
367,1982-01-01,-13.6
441,1982-01-01,9.0
181,1982-01-01,0.9
640,1982-01-01,4.1
135,1982-01-01,-0.5
366,1982-01-01,2.4
169,1982-01-01,-7.3
815,1982-01-01,
966,1982-01-01,6.3
172,1982-01-01,
79,1982-01-01,0.2
604,1982-01-01,3.7
175,1982-01-01,
683,1982-01-01,4.1
848,1982-01-01,1.7
852,1982-01-01,1.2
646,1982-01-01,7.3
531,1982-01-01,-6.3
217,1982-01-01,2.2
641,1982-01-01,
426,1982-01-01,
625,1982-01-01,1.4
19,1982-01-01,1.0
208,1982-01-01,-1.1
68,1982-01-01,3.1
52,1982-01-01,2.5
157,1982-01-01,4.1
469,1982-01-01,20.8
183,1982-01-01,
708,1982-01-01,-0.8
858,1982-01-01,-8.3
195,1982-01-01,-1.1
145,1982-01-01,4.1
294,1982-01-01,-3.5
932,1982-01-01,1.8
72,1982-01-01,4.2
517,1982-01-01,-8.9
500,1982-01-01,-2.8
84,1982-01-01,-2.1
767,1982-01-01,2.9
837,1982-01-01,2.8
997,1982-01-01,2.2
346,1982-01-01,3.5
312,1982-01-01,2.2
472,1982-01-01,23.2
902,1982-01-01,
824,1982-01-01,1.5
665,1982-01-01,1.4
91,1982-01-01,0.2
831,1982-01-01,3.1
894,1982-01-01,3.3
480,1982-01-01,5.8
485,1982-01-01,
567,1982-01-01,5.1
484,1982-01-01,0.7
24,1982-01-01,8.3
499,1982-01-01,
392,1982-01-01,-9.5
743,1982-01-01,
140,1982-01-01,4.7
751,1982-01-01,
41,1982-01-01,-36.8
646,1982-01-01,5.6
360,1982-01-01,
822,1982-01-01,1.5
218,1982-01-01,
235,1982-01-01,1.0
723,1982-01-01,
742,1982-01-01,-1.9
715,1982-01-01,2.5
186,1982-01-01,5.9
892,1982-01-01,7.5
125,1982-01-01,-11.6
338,1982-01-01,0.1
841,1982-01-01,
529,1982-01-01,
526,1982-01-01,5.5
92,1982-01-01,0.0
909,1982-01-01,
18,1982-01-01,
871,1982-01-01,8.3
273,1982-01-01,
515,1982-01-01,9.6
859,1982-01-01,-6.9
359,1982-01-01,
135,1982-01-01,
101,1982-01-01,
768,1982-01-01,3.8
790,1982-01-01,-1.3
774,1982-01-01,2.9
211,1982-01-01,-0.8
859,1982-01-01,2.2
555,1982-01-01,
680,1982-01-01,
16,1982-01-01,0.2
427,1982-01-01,11.5
282,1982-01-01,7.6
356,1982-01-01,
900,1982-01-01,5.3
205,1982-01-01,0.8
644,1982-01-01,-1.4
61,1982-01-01,-0.3
256,1982-01-01,3.6
616,1982-01-01,-4.8
775,1982-01-01,2.2
913,1982-01-01,-3.0
587,1982-01-01,-8.2
465,1982-01-01,3.9
982,1982-01-01,
883,1982-01-01,-2.5
948,1982-01-01,6.1
351,1982-01-01,2.1
43,1982-01-01,2.6
524,1982-01-01,-1.0
298,1982-01-01,
257,1982-01-01,-20.7
24,1982-01-01,7.8
738,1982-01-01,
763,1982-01-01,-2.1
340,1982-01-01,1.8
39,1982-01-01,7.1
334,1982-01-01,
135,1982-01-01,
558,1982-01-01,-1.7
983,1982-01-01,
467,1982-01-01,-0.4
71,1982-01-01,
839,1982-01-01,1.2
492,1982-01-01,5.2
162,1982-01-01,4.1
340,1982-01-01,-6.3
43,1982-01-01,1.4
389,1982-01-01,-1.3
643,1982-01-01,2.6
568,1982-01-01,3.1
720,1982-01-01,4.8
372,1982-01-01,
269,1982-01-01,0.6
663,1982-01-01,5.4
956,1982-01-01,
203,1982-01-01,-3.7
607,1982-01-01,12.8
98,1982-01-01,3.8
850,1982-01-01,-0.5
531,1982-01-01,
765,1982-01-01,
939,1982-01-01,3.4
170,1982-01-01,8.2
809,1982-01-01,
313,1982-01-01,-7.2
721,1982-01-01,1.7
476,1982-01-01,-1.8
879,1982-01-01,-9.4
758,1982-01-01,
655,1982-01-01,2.0
372,1982-01-01,2.6
39,1982-01-01,8.2
916,1982-01-01,
698,1982-01-01,
902,1982-01-01,-2.9
515,1982-01-01,
507,1983-01-01,
101,1983-01-01,1.1
581,1983-01-01,5.4
283,1983-01-01,
383,1983-01-01,4.2
492,1983-01-01,5.4
214,1983-01-01,3.7
944,1983-01-01,
686,1983-01-01,
145,1983-01-01,-0.5
907,1983-01-01,2.8
736,1983-01-01,
201,1983-01-01,6.8
768,1983-01-01,7.0
286,1983-01-01,4.0
