country_id,date,population,country_id_hash
5481,1980-01-01,2414303,82479466
9225,1980-01-01,4680144,7094523
5830,1980-01-01,9809107,3314720
5520,1980-01-01,679327,88666182
9936,1980-01-01,5125392,11777277
8382,1980-01-01,324121,25239866
1484,1980-01-01,72978,17232522
4632,1980-01-01,5755800,18394308
8990,1980-01-01,8135845,78290769
5730,1980-01-01,43748556,60387048
8331,1980-01-01,4508992,19450374
5493,1980-01-01,282509,76654775
1933,1980-01-01,1657982,62208073
4556,1980-01-01,1476983,76324049
2855,1980-01-01,598564,37223699
1077,1980-01-01,34945469,17010357
1812,1980-01-01,2240,12728354
8902,1980-01-01,43054,99789118
2666,1980-01-01,644582,52107209
8325,1980-01-01,4779418,98648627
2491,1980-01-01,53713830,11799999
6137,1980-01-01,66825,15305068
1540,1980-01-01,163591,33477232
9323,1980-01-01,749078,26015852
1968,1980-01-01,718586,18307709
6192,1980-01-01,5145843,55512115
2447,1980-01-01,77786703,53674746
1680,1980-01-01,11865246,1084582
5059,1980-01-01,28734,43518251
7791,1980-01-01,9307148,77023562
9550,1980-01-01,50106,58937713
1866,1980-01-01,94838,82422330
1376,1980-01-01,334234,82529388
8106,1980-01-01,110286,86045229
8657,1980-01-01,6987767,20945365
9599,1980-01-01,4972609,95923490
5294,1980-01-01,831462,9208023
2843,1980-01-01,778176,78027550
6415,1980-01-01,5646676,34054767
1086,1980-01-01,3777990,54768852
7703,1980-01-01,4978544,29510498
9064,1980-01-01,10698679,36662877
7843,1980-01-01,228263,67436522
7159,1980-01-01,696828385,21648065
3993,1980-01-01,148177096,92838403
7987,1980-01-01,38520664,96306083
3959,1980-01-01,13653369,77675519
7100,1980-01-01,3391387,66414785
3808,1980-01-01,64022,93294090
9089,1980-01-01,3744608,80718860
5288,1980-01-01,56329482,73216586
6674,1980-01-01,2135546,93222457
6552,1980-01-01,117624196,81642360
4363,1980-01-01,2216903,37592621
4450,1980-01-01,14172710,85666628
3754,1980-01-01,16187124,11037852
5939,1980-01-01,60813,54204960
5927,1980-01-01,1493870,59370545
8847,1980-01-01,3691209,49652934
1313,1980-01-01,3297519,28197956
3111,1980-01-01,2572037,18661921
1899,1980-01-01,2963702,49003518
1612,1980-01-01,1407672,34734422
9882,1980-01-01,1932169,41788389
9669,1980-01-01,2962720,64334328
3125,1980-01-01,25003,97262456
9898,1980-01-01,3521206,96392049
7830,1980-01-01,363741,57651871
3497,1980-01-01,8948162,55401267
3592,1980-01-01,6267369,82269717
6262,1980-01-01,13215707,8133617
2701,1980-01-01,164887,6732282
4228,1980-01-01,7372581,67756812
3964,1980-01-01,333587,24357467
8099,1980-01-01,31988,75853003
6596,1980-01-01,333786,50645867
2777,1980-01-01,1506694,42580177
2792,1980-01-01,954865,48015318
6400,1980-01-01,52233,17842756
9800,1980-01-01,67705186,72918587
8489,1980-01-01,76299,3947657
1367,1980-01-01,4103240,15268947
2641,1980-01-01,27076,8933254
9877,1980-01-01,1697780,16660052
1357,1980-01-01,589324,74713465
6446,1980-01-01,11452,76081666
3324,1980-01-01,19678444,54325268
9850,1980-01-01,11413587,70930221
7797,1980-01-01,33465781,57551901
2703,1980-01-01,975994,46013951
9288,1980-01-01,7635,30637242
3315,1980-01-01,15600442,86309608
7531,1980-01-01,14130387,69807021
5635,1980-01-01,148599,81836261
1811,1980-01-01,3147168,67448392
6130,1980-01-01,3303309,85492671
1507,1980-01-01,6173177,78601846
4777,1980-01-01,72951439,80293540
7875,1980-01-01,3637,15474886
4718,1980-01-01,17973650,80650558
6127,1980-01-01,1907023,88702694
1019,1980-01-01,17613,35230153
4283,1980-01-01,4085776,69617708
2939,1980-01-01,1017462,64469579
5946,1980-01-01,80624057,30970202
7978,1980-01-01,12252,98058056
2232,1980-01-01,1956987,73261353
6499,1980-01-01,3104788,95471311
8530,1980-01-01,3078912,81581462
2693,1980-01-01,17492406,30489639
1477,1980-01-01,48419546,40403060
7322,1980-01-01,35521429,42556134
4885,1980-01-01,9785252,49672094
7373,1980-01-01,3214568,34938530
3352,1980-01-01,277450,69253153
6771,1980-01-01,22125224,56605532
6070,1980-01-01,138257420,90064085
7426,1980-01-01,5247532,59404664
9065,1980-01-01,2983,40139165
9260,1980-01-01,121633,33207339
7092,1980-01-01,7776,50826289
3283,1980-01-01,164905,7157750
6251,1980-01-01,21346,58059125
7391,1980-01-01,10171710,54707069
5951,1980-01-01,5703869,51153058
1245,1980-01-01,7777010,18329013
3813,1980-01-01,65290,31415778
