country_id,date,value,country_id_hash
723,1981-01-01,,41888806
742,1981-01-01,-9.8,8164667
715,1981-01-01,-5.2,14715080
186,1981-01-01,6.9,18355348
892,1981-01-01,7.9,67199473
125,1981-01-01,-4.5,15398877
338,1981-01-01,2.7,40243223
841,1981-01-01,,20377248
529,1981-01-01,,28812437
526,1981-01-01,5.9,99931138
92,1981-01-01,9.6,77356048
909,1981-01-01,,72783508
18,1981-01-01,,56085795
871,1981-01-01,8.4,81170260
273,1981-01-01,,38766189
515,1981-01-01,-2.8,97595539
859,1981-01-01,5.0,4930958
359,1981-01-01,,78845516
135,1981-01-01,,71792468
101,1981-01-01,,33791314
768,1981-01-01,8.3,86898080
790,1981-01-01,-0.5,80827534
774,1981-01-01,3.0,6470595
211,1981-01-01,5.4,75229044
859,1981-01-01,-0.2,4930958
555,1981-01-01,,20929225
680,1981-01-01,,29582630
16,1981-01-01,1.6,41938095
427,1981-01-01,17.1,15671395
282,1981-01-01,6.2,93837253
356,1981-01-01,,71761777
900,1981-01-01,9.2,23044717
205,1981-01-01,1.1,18531689
644,1981-01-01,9.2,63043804
61,1981-01-01,5.5,20435857
256,1981-01-01,3.4,94018219
616,1981-01-01,-10.0,33991446
775,1981-01-01,3.5,79084240
913,1981-01-01,1.1,28657411
587,1981-01-01,-3.9,71578930
465,1981-01-01,0.1,69147221
982,1981-01-01,,97967226
883,1981-01-01,2.5,66719615
948,1981-01-01,2.7,34145243
351,1981-01-01,5.1,32914211
43,1981-01-01,3.9,71836555
524,1981-01-01,-9.1,71286120
298,1981-01-01,,48636552
257,1981-01-01,1.9,12951241
24,1981-01-01,5.1,64218719
738,1981-01-01,,18311676
763,1981-01-01,-3.9,93382838
340,1981-01-01,1.9,72545627
39,1981-01-01,10.8,54218556
334,1981-01-01,,45114489
135,1981-01-01,,71792468
558,1981-01-01,-1.8,70078248
983,1981-01-01,,60689257
467,1981-01-01,5.4,53021696
71,1981-01-01,,90101268
839,1981-01-01,-0.4,71448315
492,1981-01-01,5.3,81801560
162,1981-01-01,6.3,54790051
340,1981-01-01,1.9,72545627
43,1981-01-01,4.5,71836555
389,1981-01-01,1.6,33478187
643,1981-01-01,8.5,79648704
568,1981-01-01,-10.3,64731112
720,1981-01-01,7.1,9348887
372,1981-01-01,,63171500
269,1981-01-01,0.5,61338997
663,1981-01-01,5.9,59404558
956,1981-01-01,,2608017
203,1981-01-01,-3.4,17739986
607,1981-01-01,14.0,76135334
98,1981-01-01,4.6,46305738
850,1981-01-01,5.5,3985206
531,1981-01-01,,15428775
765,1981-01-01,,57282382
939,1981-01-01,4.4,30576306
170,1981-01-01,3.9,10315112
809,1981-01-01,,49251654
313,1981-01-01,8.0,58384674
721,1981-01-01,-0.9,3080831
476,1981-01-01,2.5,59885057
879,1981-01-01,1.9,78755218
758,1981-01-01,,64100421
655,1981-01-01,4.4,7577402
372,1981-01-01,-1.3,63171500
39,1981-01-01,5.8,54218556
916,1981-01-01,,95082108
698,1981-01-01,,54064197
902,1981-01-01,6.6,39900920
515,1981-01-01,,97595539
507,1982-01-01,,88466734
101,1982-01-01,2.9,33791314
581,1982-01-01,6.4,69873062
283,1982-01-01,,5892424
383,1982-01-01,0.0,84145927
492,1982-01-01,-0.1,81801560
214,1982-01-01,-3.1,25426021
944,1982-01-01,,80560406
686,1982-01-01,,90452541
145,1982-01-01,0.1,20560328
907,1982-01-01,1.9,8220049
736,1982-01-01,,76220858
201,1982-01-01,6.3,70083219
768,1982-01-01,6.4,86898080
286,1982-01-01,2.4,85511984
377,1982-01-01,-4.9,76898047
4,1982-01-01,4.0,6361900
587,1982-01-01,0.6,71578930
360,1982-01-01,-7.6,97957390
473,1982-01-01,1.7,88595042
259,1982-01-01,8.2,4053751
694,1982-01-01,-3.9,87749401
263,1982-01-01,,64879567
713,1982-01-01,15.9,96081803
108,1982-01-01,0.6,84398603
5,1982-01-01,,70900693
574,1982-01-01,4.2,80278245
467,1982-01-01,1.4,53021696
312,1982-01-01,-1.1,57643641
