country_id,date,population,start,end,current
9954,1950-01-01,195765,01.01.1900,31.12.9999,1
9171,1950-01-01,7014610,01.01.1900,31.12.9999,1
9995,1950-01-01,4692639,01.01.1900,31.12.9999,1
9598,1950-01-01,3543537,01.01.1900,31.12.9999,1
1623,1950-01-01,7623130,01.01.1900,31.12.9999,1
8108,1950-01-01,1526140,01.01.1900,31.12.9999,1
5605,1950-01-01,7632399,01.01.1900,31.12.9999,1
3514,1950-01-01,20411638,01.01.1900,31.12.9999,1
8258,1950-01-01,414791,01.01.1900,31.12.9999,1
3763,1950-01-01,1398525,01.01.1900,31.12.9999,1
4810,1950-01-01,1599,01.01.1900,31.12.9999,1
7376,1950-01-01,49830,01.01.1900,31.12.9999,1
4402,1950-01-01,648616,01.01.1900,31.12.9999,1
2097,1950-01-01,3606288,01.01.1900,31.12.9999,1
3095,1950-01-01,20977697,01.01.1900,31.12.9999,1
6898,1950-01-01,1214096,01.01.1900,31.12.9999,1
6928,1950-01-01,4732,01.01.1900,31.12.9999,1
3793,1950-01-01,5750637,01.01.1900,31.12.9999,1
8670,1950-01-01,37302996,01.01.1900,31.12.9999,1
3348,1950-01-01,74591,01.01.1900,31.12.9999,1
8898,1950-01-01,50055065,01.01.1900,31.12.9999,1
8163,1950-01-01,148281550,01.01.1900,31.12.9999,1
8338,1950-01-01,2234144,01.01.1900,31.12.9999,1
7220,1950-01-01,6247550,01.01.1900,31.12.9999,1
9145,1950-01-01,51568,01.01.1900,31.12.9999,1
4005,1950-01-01,5488614,01.01.1900,31.12.9999,1
6369,1950-01-01,25109200,01.01.1900,31.12.9999,1
7483,1950-01-01,12982,01.01.1900,31.12.9999,1
7872,1950-01-01,4712810,01.01.1900,31.12.9999,1
9480,1950-01-01,2318448,01.01.1900,31.12.9999,1
2658,1950-01-01,2791326,01.01.1900,31.12.9999,1
2050,1955-01-01,7971931,01.01.1900,31.12.9999,1
5181,1955-01-01,1453730,01.01.1900,31.12.9999,1
4586,1955-01-01,10242288,01.01.1900,31.12.9999,1
9350,1955-01-01,19826,01.01.1900,31.12.9999,1
9230,1955-01-01,6116,01.01.1900,31.12.9999,1
9448,1955-01-01,4938118,01.01.1900,31.12.9999,1
5604,1955-01-01,5752,01.01.1900,31.12.9999,1
8745,1955-01-01,50264,01.01.1900,31.12.9999,1
5231,1955-01-01,18700686,01.01.1900,31.12.9999,1
1972,1955-01-01,1604376,01.01.1900,31.12.9999,1
8217,1955-01-01,46464,01.01.1900,31.12.9999,1
7859,1955-01-01,9209844,01.01.1900,31.12.9999,1
5484,1955-01-01,6946260,01.01.1900,31.12.9999,1
2557,1955-01-01,3550017,01.01.1900,31.12.9999,1
3976,1955-01-01,92444,01.01.1900,31.12.9999,1
5160,1955-01-01,134865,01.01.1900,31.12.9999,1
3421,1955-01-01,44315548,01.01.1900,31.12.9999,1
8963,1955-01-01,227320,01.01.1900,31.12.9999,1
4288,1955-01-01,7976356,01.01.1900,31.12.9999,1
2934,1955-01-01,8834526,01.01.1900,31.12.9999,1
1945,1955-01-01,79986,01.01.1900,31.12.9999,1
5854,1955-01-01,2360081,01.01.1900,31.12.9999,1
5017,1955-01-01,39136,01.01.1900,31.12.9999,1
5833,1955-01-01,196014,01.01.1900,31.12.9999,1
8863,1955-01-01,3357923,01.01.1900,31.12.9999,1
2086,1955-01-01,2958430,01.01.1900,31.12.9999,1
6025,1955-01-01,461880,01.01.1900,31.12.9999,1
5643,1955-01-01,40839223,01.01.1900,31.12.9999,1
8750,1955-01-01,7516,01.01.1900,31.12.9999,1
1038,1955-01-01,64267,01.01.1900,31.12.9999,1
4114,1955-01-01,7517922,01.01.1900,31.12.9999,1
3270,1955-01-01,4472824,01.01.1900,31.12.9999,1
5785,1955-01-01,2495193,01.01.1900,31.12.9999,1
1475,1955-01-01,4931224,01.01.1900,31.12.9999,1
2910,1955-01-01,4670538,01.01.1900,31.12.9999,1
4227,1955-01-01,15733923,01.01.1900,31.12.9999,1
5564,1955-01-01,195389,01.01.1900,31.12.9999,1
1710,1955-01-01,8129,01.01.1900,31.12.9999,1
1420,1955-01-01,1545898,01.01.1900,31.12.9999,1
9053,1955-01-01,2756169,01.01.1900,31.12.9999,1
8151,1955-01-01,7323194,01.01.1900,31.12.9999,1
4783,1955-01-01,603320147,01.01.1900,31.12.9999,1
8433,1955-01-01,13512612,01.01.1900,31.12.9999,1
2225,1955-01-01,177885,01.01.1900,31.12.9999,1
1998,1955-01-01,16129,01.01.1900,31.12.9999,1
5481,1955-01-01,1123982,01.01.1900,31.12.9999,1
9225,1955-01-01,4049659,01.01.1900,31.12.9999,1
5830,1955-01-01,6559586,01.01.1900,31.12.9999,1
5520,1955-01-01,534125,01.01.1900,31.12.9999,1
9936,1955-01-01,4426508,01.01.1900,31.12.9999,1
8382,1955-01-01,72997,01.01.1900,31.12.9999,1
1484,1955-01-01,51895,01.01.1900,31.12.9999,1
4632,1955-01-01,2791108,01.01.1900,31.12.9999,1
8990,1955-01-01,4022378,01.01.1900,31.12.9999,1
5730,1955-01-01,23841701,01.01.1900,31.12.9999,1
8331,1955-01-01,2448633,01.01.1900,31.12.9999,1
5493,1955-01-01,245800,01.01.1900,31.12.9999,1
1933,1955-01-01,895009,01.01.1900,31.12.9999,1
4556,1955-01-01,1168276,01.01.1900,31.12.9999,1
2855,1955-01-01,307078,01.01.1900,31.12.9999,1
1077,1955-01-01,19703738,01.01.1900,31.12.9999,1
1812,1955-01-01,2187,01.01.1900,31.12.9999,1
8902,1955-01-01,32127,01.01.1900,31.12.9999,1
2666,1955-01-01,343693,01.01.1900,31.12.9999,1
8325,1955-01-01,4235413,01.01.1900,31.12.9999,1
2491,1955-01-01,43593851,01.01.1900,31.12.9999,1
6137,1955-01-01,25456,01.01.1900,31.12.9999,1
1540,1955-01-01,74475,01.01.1900,31.12.9999,1
9323,1955-01-01,489459,01.01.1900,31.12.9999,1
1968,1955-01-01,349374,01.01.1900,31.12.9999,1
6192,1955-01-01,3738231,01.01.1900,31.12.9999,1
2447,1955-01-01,71222628,01.01.1900,31.12.9999,1
